X,Y,Z,Degree
-0.00021344630942457033, 0.0005215731726435909, -0.0019732227910273497, 90.07401906805688
-0.0002938164925411563, 0.0007968504261458406, -0.0013020931272613324, 90.8558266876172
-0.00034701000623679084, 0.0015865692982631214, -0.0008698103810047594, 90.87862504600741
-0.0003849503025549325, 0.0028314974392935435, -0.000589457413851184, 89.98634821608121
-0.00042792559296325956, 0.004076476998430845, -0.0004107265109466428, 89.09569837970882
-0.0004770258211100294, 0.0052822792878480145, -0.0002882502514253184, 88.28447608643567
-0.000533972380090784, 0.006487517532781218, -0.0002102174067547119, 87.47411437806055
-0.0006014993950148472, 0.0076919679867449445, -0.00016060305731395615, 86.66434527948729
-0.0006772544066724155, 0.008895400355558178, -0.0001291688108863865, 85.85498674659578
-0.0007726821337282598, 0.010097580499300466, -0.00010937095089356974, 85.04582392092605
-0.000887063662325526, 0.01129827186806453, -9.70240681543149e-05, 84.2368371509417
-0.0010177298951889043, 0.012497237023321218, -8.944986213209327e-05, 83.4279993384003
-0.0011646210230827504, 0.013694238388378802, -8.493362882303936e-05, 82.6192753612816
-0.001327953082783783, 0.014889038668553985, -8.237695379292344e-05, 81.81063990737441
-0.0015078503531940613, 0.01608140107150029, -8.107598636876087e-05, 81.00207569200687
-0.0017043769417097346, 0.0172710894097096, -8.057953312821074e-05, 80.1935705846471
-0.0019176058149297035, 0.01845786813585023, -8.059824303686784e-05, 79.38509863973472
-0.002147564965923462, 0.019641502283239545, -8.094647896662692e-05, 78.5766392864921
-0.002394205598813087, 0.020821757524546364, -8.150510752774447e-05, 77.76819424834483
-0.0026574761838287124, 0.02199840024782133, -8.219762384098668e-05, 76.95976429491743
-0.0029373223814505986, 0.023171197588752784, -8.297486296983403e-05, 76.15134952208037
-0.0032336878406361504, 0.0243400527104627, -8.380537837686039e-05, 75.34268534278732
-0.00354651895595352, 0.025504733461692467, -8.46686950346457e-05, 74.53377118643527
-0.003875757356944421, 0.026664941386540925, -8.555163416859232e-05, 73.72473713514542
-0.004221338940387226, 0.027820406736974952, -8.644567336994063e-05, 72.91565914717653
-0.004583195049265237, 0.02897087724669921, -8.734526970716541e-05, 72.10658099243689
-0.004961253143097952, 0.030116111509170457, -8.824679520362186e-05, 71.29752722765133
-0.005355437179913648, 0.03125587506538484, -8.914785352996321e-05, 70.48851089751052
-0.00576566783519369, 0.032389938086812155, -9.004684100161892e-05, 69.67953813005869
-0.006191862628933961, 0.03351807400261458, -9.094266434761349e-05, 68.87061089246616
-0.006633936001127193, 0.03464005868858903, -9.183455920716045e-05, 68.06172865165404
-0.007091799358409598, 0.03575566999164808, -9.272197337852062e-05, 67.25288938022132
-0.007565361104672023, 0.036864687455416406, -9.360449172411862e-05, 66.44409016965834
-0.008054526662756962, 0.03796689216681484, -9.448178786808023e-05, 65.63532760722735
-0.008559198491230035, 0.03906206667562334, -9.535359313542907e-05, 64.82659801031826
-0.009079276098397471, 0.04014999495827355, -9.62196765707489e-05, 64.01789757457668
-0.009614656054795369, 0.04123046240853766, -9.707983207892824e-05, 63.209222469791136
-0.010165232004814584, 0.042303255844750344, -9.79338701365285e-05, 62.40056890392609
-0.0107308946778545, 0.04336816352728596, -9.878161243018387e-05, 61.59193316767162
-0.011311531899240838, 0.04442497518254628, -9.962288837397047e-05, 60.78331166689859
-0.011907028601066724, 0.04547348203120594, -0.00010045753282493172, 59.97470094749239
-0.012517266833089367, 0.04651347681936856, -0.0001012853845693204, 59.16609771520803
-0.013142125773787164, 0.04754475385183049, -0.00010210628529630159, 58.35749885214307
-0.01378148174168743, 0.048567109026974364, -0.00010292007889189936, 57.548901430741275
-0.014435208207067129, 0.049580339873016036, -0.00010372661093906686, 56.74030272584646
-0.015103175804136039, 0.05058424558541589, -0.00010452572835146882, 55.931700225124985
-0.015785252343801955, 0.05157862706536362, -0.00010531727910731425, 55.12309163798367
-0.016481302827130943, 0.052563286959249146, -0.00010610111204852578, 54.314474903070106
-0.017191189459606165, 0.05353802969905895, -0.0001068770767319021, 53.50584819439844
-0.01791477166628756, 0.054502661543652076, -0.00010764502332700002, 52.69720992607598
-0.018651906112106237, 0.05545699340756359, -0.00010840480666155991, 51.88855431531067
-0.019402446841639685, 0.05640084035836735, -0.00010915628139810708, 51.079872266178505
-0.020166245250066613, 0.0573340136505933, -0.00010989929767580252, 50.27116411421675
-0.020943149989619877, 0.05825632657139082, -0.00011063370751555716, 49.462430395686226
-0.021733006995416873, 0.059167594485506944, -0.0001113593634283639, 48.653671834899605
-0.022535659511588677, 0.060067634880503186, -0.00011207611854183869, 47.844889335439724
-0.023350948118155274, 0.060956267412286214, -0.00011278382677197898, 47.03608397304741
-0.024178710758944406, 0.061833313950877496, -0.00011348234300440074, 46.227256988961926
-0.025018782770753402, 0.06269859862632197, -0.0001141715232881313, 45.41840978299852
-0.02587099691389392, 0.06355194787461757, -0.0001148512250309184, 44.609543905976736
-0.026735183404208007, 0.06439319048354297, -0.00011552130719426346, 43.800661051309476
-0.027611169946610278, 0.06522215763825645, -0.00011618163049624888, 42.99176304566221
-0.028498781770185066, 0.06603868296654429, -0.00011683205760614802, 42.18285183868866
-0.029397841664849506, 0.06684260258359162, -0.00011747245334055995, 41.37392949187212
-0.03030817001956898, 0.06763375513616092, -0.00011810268484867617, 40.56499816653677
-0.031229584862109208, 0.06841198184606091, -0.00011872262178630466, 39.75606011111128
-0.03216190190028597, 0.06917712655278976, -0.00011933213648070845, 38.947117647723886
-0.0331049345646677, 0.06992903575524907, -0.00011993110406755166, 38.13817315823311
